observation_date,MYAGM2BRM189N
1970-01-01,0.0124
1970-02-01,0.0127
1970-03-01,0.0135
1970-04-01,0.0138
1970-05-01,0.0142
1970-06-01,0.0149
1970-07-01,0.0149
1970-08-01,0.0153
1970-09-01,0.0135
1970-10-01,0.0156
1970-11-01,0.0160
1970-12-01,0.0171
1971-01-01,0.0164
1971-02-01,0.0164
1971-03-01,0.0171
1971-04-01,0.0171
1971-05-01,0.0178
1971-06-01,0.0193
1971-07-01,0.0189
1971-08-01,0.0196
1971-09-01,0.0207
1971-10-01,0.0215
1971-11-01,0.0225
1971-12-01,0.0222
1972-01-01,0.0215
1972-02-01,0.0218
1972-03-01,0.0233
1972-04-01,0.0240
1972-05-01,0.0247
1972-06-01,0.0258
1972-07-01,0.0262
1972-08-01,0.0269
1972-09-01,0.0280
1972-10-01,0.0291
1972-11-01,0.0305
1972-12-01,0.0327
1973-01-01,0.0320
1973-02-01,0.0331
1973-03-01,0.0342
1973-04-01,0.0360
1973-05-01,0.0375
1973-06-01,0.0396
1973-07-01,0.0407
1973-08-01,0.0418
1973-09-01,0.0436
1973-10-01,0.0444
1973-11-01,0.0455
1973-12-01,0.0476
1974-01-01,0.0458
1974-02-01,0.0473
1974-03-01,0.0498
1974-04-01,0.0502
1974-05-01,0.0516
1974-06-01,0.0535
1974-07-01,0.0531
1974-08-01,0.0556
1974-09-01,0.0560
1974-10-01,0.0578
1974-11-01,0.0615
1974-12-01,0.0647
1975-01-01,0.0622
1975-02-01,0.0625
1975-03-01,0.0655
1975-04-01,0.0684
1975-05-01,0.0724
1975-06-01,0.0760
1975-07-01,0.0778
1975-08-01,0.0818
1975-09-01,0.0847
1975-10-01,0.0869
1975-11-01,0.0924
1975-12-01,0.0996
1976-01-01,0.0985
1976-02-01,0.1015
1976-03-01,0.1044
1976-04-01,0.1095
1976-05-01,0.1135
1976-06-01,0.1222
1976-07-01,0.1233
1976-08-01,0.1276
1976-09-01,0.1302
1976-10-01,0.1342
1976-11-01,0.1393
1976-12-01,0.1520
1977-01-01,0.1455
1977-02-01,0.1473
1977-03-01,0.1520
1977-04-01,0.1596
1977-05-01,0.1644
1977-06-01,0.1731
1977-07-01,0.1778
1977-08-01,0.1847
1977-09-01,0.1880
1977-10-01,0.1920
1977-11-01,0.2000
1977-12-01,0.2102
1978-01-01,0.2044
1978-02-01,0.2091
1978-03-01,0.2189
1978-04-01,0.2280
1978-05-01,0.2371
1978-06-01,0.2491
1978-07-01,0.2516
1978-08-01,0.2622
1978-09-01,0.2767
1978-10-01,0.2793
1978-11-01,0.2876
1978-12-01,0.3073
1979-01-01,0.3007
1979-02-01,0.3102
1979-03-01,0.3196
1979-04-01,0.3265
1979-05-01,0.3404
1979-06-01,0.3622
1979-07-01,0.3771
1979-08-01,0.3884
1979-09-01,0.4102
1979-10-01,0.4193
1979-11-01,0.4371
1979-12-01,0.4789
1980-01-01,0.4771
1980-02-01,0.5029
1980-03-01,0.5178
1980-04-01,0.5531
1980-05-01,0.5909
1980-06-01,0.6185
1980-07-01,0.6218
1980-08-01,0.6600
1980-09-01,0.6905
1980-10-01,0.7131
1980-11-01,0.7600
1980-12-01,0.8211
1981-01-01,0.7993
1981-02-01,0.8527
1981-03-01,0.8956
1981-04-01,1.0011
1981-05-01,1.0618
1981-06-01,1.1538
1981-07-01,1.2342
1981-08-01,1.3047
1981-09-01,1.3869
1981-10-01,1.5480
1981-11-01,1.6935
1981-12-01,1.9535
1982-01-01,1.9389
1982-02-01,2.0058
1982-03-01,2.0713
1982-04-01,2.2455
1982-05-01,2.3851
1982-06-01,2.6371
1982-07-01,2.7353
1982-08-01,2.8124
1982-09-01,3.0069
1982-10-01,3.2465
1982-11-01,3.4793
1982-12-01,3.8342
1983-01-01,3.9836
1983-02-01,4.0698
1983-03-01,4.1393
1983-04-01,4.4502
1983-05-01,4.7098
1983-06-01,5.1247
1983-07-01,5.5171
1983-08-01,6.0138
1983-09-01,6.0967
1983-10-01,6.8087
1983-11-01,7.1815
1983-12-01,7.7724
1984-01-01,8.2182
1984-02-01,8.5465
1984-03-01,9.6600
1984-04-01,10.6542
1984-05-01,12.1269
1984-06-01,13.3509
1984-07-01,15.2625
1984-08-01,17.4556
1984-09-01,20.6353
1984-10-01,23.6993
1984-11-01,28.1385
1984-12-01,32.4676
1985-01-01,35.5204
1985-02-01,39.3447
1985-03-01,44.5207
1985-04-01,51.7516
1985-05-01,60.0789
1985-06-01,68.9422
1985-07-01,79.8953
1985-08-01,90.5604
1985-09-01,99.8916
1985-10-01,112.7884
1985-11-01,127.1298
1985-12-01,146.8865
1986-01-01,158.7880
1986-02-01,180.0284
1986-03-01,228.9647
1986-04-01,242.8255
1986-05-01,257.4422
1986-06-01,271.1447
1986-07-01,267.5251
1986-08-01,277.5531
1986-09-01,271.1942
1986-10-01,292.3455
1986-11-01,292.3545
1986-12-01,318.4131
1987-01-01,303.9785
1987-02-01,346.2076
1987-03-01,405.9247
1987-04-01,432.3636
1987-05-01,542.9091
1987-06-01,654.5455
1987-07-01,727.2727
1987-08-01,766.9091
1987-09-01,844.3636
1987-10-01,960.0000
1987-11-01,1122.5455
1987-12-01,1355.6364
1988-01-01,1518.5455
1988-02-01,1705.0909
1988-03-01,1922.9091
1988-04-01,2387.6364
1988-05-01,2904.0000
1988-06-01,3496.7273
1988-07-01,5210.4735
1988-08-01,6339.0415
1988-09-01,7873.5927
1988-10-01,9994.5829
1988-11-01,12591.5055
1988-12-01,16871.2087
1989-01-01,19582.1818
1989-02-01,21968.0000
1989-03-01,25624.0000
1989-04-01,30326.1818
1989-05-01,32477.4545
1989-06-01,38648.7273
1989-07-01,47445.0909
1989-08-01,60924.0000
1989-09-01,79998.1818
1989-10-01,108494.1818
1989-11-01,148388.3636
1989-12-01,239225.8182
1990-01-01,350736.7273
1990-02-01,660653.8182
1990-03-01,963521.4545
1990-04-01,908961.4545
1990-05-01,1023386.5455
1990-06-01,1150381.8182
1990-07-01,1287082.9091
1990-08-01,1486466.1818
1990-09-01,1755858.9091
1990-10-01,1994421.4545
1990-11-01,2315757.4545
1990-12-01,2822565.4545
1991-01-01,3163132.7273
1991-02-01,3703016.7273
1991-03-01,4304324.7273
1991-04-01,4721849.8182
1991-05-01,5331973.0909
1991-06-01,6024898.9091
1991-07-01,6807402.1818
1991-08-01,7872640.0000
1991-09-01,9406394.1800
